timestamp,ax_g,ay_g,az_g,metric_raw,metric_lpf,jerk_gps,rms_g
2025-09-13 16:08:42.655,0.00910,0.01112,1.00985,1.00995,0.99834,0.59753,0.00658
2025-09-13 16:08:42.664,-0.00444,-0.04096,0.98796,0.98881,0.99548,0.34277,0.00657
2025-09-13 16:08:42.672,0.01421,-0.04434,0.99843,0.99951,0.99669,0.14517,0.00555
2025-09-13 16:08:42.680,-0.01556,-0.02239,0.98022,0.98060,0.99186,0.57909,0.00529
2025-09-13 16:08:42.689,0.00657,-0.03395,0.98419,0.98480,0.98975,0.25424,0.00565
2025-09-13 16:08:42.697,0.01753,0.01760,1.00339,1.00369,0.99393,0.50212,0.00581
2025-09-13 16:08:42.705,-0.02018,-0.00940,0.99446,0.99471,0.99416,0.02818,0.00612
2025-09-13 16:08:42.714,-0.00106,0.01641,0.99678,0.99692,0.99499,0.09904,0.00620
2025-09-13 16:08:42.722,0.00759,-0.05030,1.02723,1.02849,1.00504,1.20603,0.00603
2025-09-13 16:08:42.730,-0.02514,-0.01301,1.00608,1.00648,1.00547,0.05193,0.00627
2025-09-13 16:08:42.739,-0.04247,0.00252,0.99752,0.99843,1.00336,0.25359,0.00619
2025-09-13 16:08:42.747,0.01135,0.01076,0.95655,0.95667,0.98935,1.68064,0.00705
2025-09-13 16:08:42.755,-0.01551,-0.00047,0.98961,0.98973,0.98947,0.01371,0.00739
2025-09-13 16:08:42.763,0.02077,0.00452,0.97769,0.97792,0.98600,0.41576,0.00805
2025-09-13 16:08:42.772,-0.05640,0.02705,1.02969,1.03158,0.99968,1.64091,0.00779
2025-09-13 16:08:42.780,0.03778,-0.02120,0.98763,0.98858,0.99635,0.39965,0.00764
2025-09-13 16:08:42.788,0.01608,-0.02956,0.98895,0.98952,0.99430,0.24573,0.00769
2025-09-13 16:08:42.797,0.03129,0.02903,1.02149,1.02238,1.00272,1.01081,0.00756
2025-09-13 16:08:42.805,-0.01595,-0.04766,0.95711,0.95843,0.98943,1.59464,0.00814
2025-09-13 16:08:42.814,0.03145,0.00919,0.98662,0.98717,0.98875,0.08162,0.00889
2025-09-13 16:08:42.822,0.01725,-0.01837,1.01184,1.01216,0.99578,0.84253,0.00827
2025-09-13 16:08:42.830,0.00840,-0.01424,0.98936,0.98949,0.99389,0.22610,0.00776
2025-09-13 16:08:42.839,0.00154,0.01384,1.03115,1.03124,1.00510,1.34465,0.00643
2025-09-13 16:08:42.847,0.04064,-0.02357,1.03676,1.03782,1.01491,1.17814,0.00813
2025-09-13 16:08:42.856,0.02136,-0.01600,0.98934,0.98970,1.00735,0.90769,0.00840
2025-09-13 16:08:42.864,-0.01154,-0.01576,0.97791,0.97810,0.99858,1.05284,0.00820
2025-09-13 16:08:42.872,0.00897,-0.04095,0.97470,0.97560,0.99168,0.82712,0.00861
2025-09-13 16:08:42.880,0.01378,0.00961,0.98604,0.98618,0.99003,0.19814,0.00853
2025-09-13 16:08:42.888,0.02166,0.02104,0.98416,0.98462,0.98841,0.19474,0.00858
2025-09-13 16:08:42.897,0.01176,-0.01752,0.99226,0.99249,0.98963,0.14681,0.00914
2025-09-13 16:08:42.905,0.01572,0.00483,1.01001,1.01015,0.99579,0.73850,0.00902
2025-09-13 16:08:42.913,0.01275,-0.02998,1.01373,1.01425,1.00133,0.66462,0.00887
2025-09-13 16:08:42.922,-0.00093,-0.02598,0.99686,0.99720,1.00009,0.14853,0.00735
2025-09-13 16:08:42.930,-0.00685,-0.00607,0.99782,0.99786,0.99942,0.08011,0.00693
2025-09-13 16:08:42.939,0.00981,-0.00321,1.02126,1.02131,1.00599,0.78811,0.00720
2025-09-13 16:08:42.947,0.01240,-0.01089,1.05211,1.05224,1.01986,1.66502,0.00938
2025-09-13 16:08:42.955,-0.02964,0.00099,0.95455,0.95501,1.00041,2.33486,0.00877
2025-09-13 16:08:42.964,-0.00553,-0.00954,1.01023,1.01029,1.00337,0.35599,0.00795
2025-09-13 16:08:42.972,0.03681,0.00014,0.99529,0.99597,1.00115,0.26641,0.00717
2025-09-13 16:08:42.980,0.04150,-0.02915,0.96529,0.96662,0.99079,1.24314,0.00768
2025-09-13 16:08:42.989,-0.00887,0.03777,1.00158,1.00233,0.99426,0.41547,0.00790
