timestamp,ax_g,ay_g,az_g,metric_raw,metric_lpf,jerk_gps,rms_g
2025-09-13 16:01:03.051,-0.01542,-0.00246,1.03384,1.03396,1.01388,1.03278,0.00919
2025-09-13 16:01:03.061,-0.00453,0.03541,0.99055,0.99119,1.00707,0.81680,0.00851
2025-09-13 16:01:03.070,0.00407,-0.00977,1.01304,1.01310,1.00888,0.21687,0.00726
2025-09-13 16:01:03.077,-0.00836,0.01626,1.01136,1.01153,1.00967,0.09529,0.00681
2025-09-13 16:01:03.084,0.00685,0.00870,0.98065,0.98071,1.00099,1.04256,0.00685
2025-09-13 16:01:03.094,0.00495,0.00703,0.95375,0.95379,0.98683,1.69901,0.00862
2025-09-13 16:01:03.101,-0.00984,0.01233,0.98568,0.98580,0.98652,0.03696,0.00953
2025-09-13 16:01:03.110,0.00240,0.00117,0.99204,0.99205,0.98818,0.19891,0.01059
2025-09-13 16:01:03.117,-0.01385,0.03527,1.03877,1.03946,1.00356,1.84627,0.01058
2025-09-13 16:01:03.126,-0.00715,0.00842,0.99771,0.99777,1.00183,0.20854,0.01004
2025-09-13 16:01:03.135,0.00027,-0.02038,1.01442,1.01463,1.00567,0.46091,0.01000
2025-09-13 16:01:03.144,-0.01540,-0.01829,0.99388,0.99417,1.00222,0.41381,0.00986
2025-09-13 16:01:03.151,0.04047,0.02733,0.98556,0.98677,0.99758,0.55605,0.00987
2025-09-13 16:01:03.159,-0.02091,0.00849,1.00750,1.00776,1.00064,0.36623,0.00988
2025-09-13 16:01:03.168,0.01051,-0.01074,1.02877,1.02888,1.00911,1.01666,0.00832
2025-09-13 16:01:03.176,0.01113,0.02543,0.95318,0.95359,0.99245,1.99874,0.00710
2025-09-13 16:01:03.184,0.00333,-0.00158,0.98497,0.98498,0.99021,0.26894,0.00663
2025-09-13 16:01:03.193,-0.00978,0.00650,1.00019,1.00025,0.99322,0.36155,0.00749
2025-09-13 16:01:03.202,0.01159,-0.01839,1.01176,1.01200,0.99886,0.67584,0.00764
2025-09-13 16:01:03.210,0.01830,-0.01068,0.98936,0.98959,0.99607,0.33374,0.00803
2025-09-13 16:01:03.218,0.03996,-0.01220,1.02041,1.02126,1.00363,0.90670,0.00801
2025-09-13 16:01:03.227,-0.01026,-0.00056,0.98895,0.98901,0.99924,0.52644,0.00789
2025-09-13 16:01:03.234,-0.01246,-0.03960,1.03500,1.03583,1.01022,1.31710,0.00812
2025-09-13 16:01:03.243,-0.01409,-0.01707,0.99165,0.99190,1.00472,0.65961,0.00792
2025-09-13 16:01:03.251,0.02927,0.01634,0.99748,0.99804,1.00272,0.24053,0.00698
2025-09-13 16:01:03.259,-0.01027,-0.00818,1.01864,1.01872,1.00752,0.57608,0.00549
2025-09-13 16:01:03.268,0.00919,-0.02371,1.03416,1.03447,1.01560,0.97027,0.00579
2025-09-13 16:01:03.276,0.02214,0.03346,0.99419,0.99500,1.00942,0.74168,0.00588
2025-09-13 16:01:03.284,-0.04115,-0.01306,1.00842,1.00934,1.00940,0.00284,0.00563
2025-09-13 16:01:03.293,0.02047,-0.04732,1.03046,1.03175,1.01610,0.80457,0.00698
2025-09-13 16:01:03.301,0.00088,0.00364,1.02872,1.02872,1.01989,0.45425,0.00869
2025-09-13 16:01:03.309,0.02306,-0.01730,1.00326,1.00367,1.01502,0.58387,0.00922
2025-09-13 16:01:03.318,0.01244,0.00724,1.01876,1.01886,1.01618,0.13823,0.01011
2025-09-13 16:01:03.326,0.02573,-0.01822,1.00258,1.00307,1.01225,0.47170,0.01049
2025-09-13 16:01:03.334,0.00917,-0.00329,1.00106,1.00111,1.00891,0.40083,0.01056
2025-09-13 16:01:03.343,0.00024,0.00580,1.00800,1.00801,1.00864,0.03211,0.00993
2025-09-13 16:01:03.352,0.02914,0.00237,1.01314,1.01356,1.01011,0.17719,0.00997
2025-09-13 16:01:03.359,-0.02018,-0.02937,0.97868,0.97933,1.00088,1.10825,0.00984
2025-09-13 16:01:03.368,-0.03592,0.00293,1.00202,1.00266,1.00141,0.06429,0.00896
2025-09-13 16:01:03.376,-0.01298,0.00968,1.00484,1.00497,1.00248,0.12798,0.00717
2025-09-13 16:01:03.385,-0.01066,-0.02202,1.01151,1.01180,1.00528,0.33552,0.00612
2025-09-13 16:01:03.393,0.02748,-0.02975,1.00428,1.00510,1.00522,0.00651,0.00453
2025-09-13 16:01:03.401,0.02415,-0.01551,0.95845,0.95888,0.99132,1.66828,0.00543
2025-09-13 16:01:03.409,-0.01174,-0.01503,1.00334,1.00352,0.99498,0.43909,0.00591
2025-09-13 16:01:03.418,0.00908,-0.00678,1.04107,1.04113,1.00882,1.66131,0.00593
2025-09-13 16:01:03.426,0.02025,-0.01590,0.99144,0.99178,1.00371,0.61373,0.00554
2025-09-13 16:01:03.434,-0.00244,-0.01545,1.00149,1.00161,1.00308,0.07546,0.00546
2025-09-13 16:01:03.443,0.01496,0.00905,1.00137,1.00153,1.00261,0.05594,0.00542
2025-09-13 16:01:03.451,-0.00394,-0.01515,1.01466,1.01479,1.00627,0.43816,0.00547
2025-09-13 16:01:03.459,-0.03869,-0.00003,1.00176,1.00250,1.00514,0.13542,0.00546
2025-09-13 16:01:03.468,0.01948,0.01873,1.00736,1.00772,1.00591,0.09310,0.00549
2025-09-13 16:01:03.476,0.01957,-0.00628,1.01236,1.01257,1.00791,0.23957,0.00387
2025-09-13 16:01:03.484,-0.00087,0.02472,1.03128,1.03157,1.01501,0.85185,0.00455
2025-09-13 16:01:03.493,-0.02854,0.00099,1.03145,1.03185,1.02006,0.60614,0.00689
2025-09-13 16:01:03.501,0.03427,0.00910,0.99761,0.99824,1.01351,0.78535,0.00762
2025-09-13 16:01:03.509,0.01254,-0.06187,1.03054,1.03247,1.01920,0.68255,0.00920
2025-09-13 16:01:03.518,0.04011,-0.02562,1.01280,1.01392,1.01762,0.19034,0.01030
2025-09-13 16:01:03.526,0.03240,-0.01218,0.97397,0.97459,1.00471,1.54910,0.01027
2025-09-13 16:01:03.534,0.04256,0.00498,1.00500,1.00591,1.00507,0.04346,0.01027
2025-09-13 16:01:03.543,-0.00195,0.00779,1.02577,1.02580,1.01129,0.74646,0.01055
2025-09-13 16:01:03.551,-0.02870,0.01805,0.98507,0.98565,1.00360,0.92299,0.01045
2025-09-13 16:01:03.559,-0.01161,-0.01633,0.98944,0.98965,0.99941,0.50232,0.00986
2025-09-13 16:01:03.568,-0.04017,0.02371,1.01013,1.01121,1.00295,0.42473,0.00822
2025-09-13 16:01:03.576,-0.02190,-0.01853,1.02016,1.02056,1.00824,0.63402,0.00769
2025-09-13 16:01:03.584,0.04575,-0.02043,0.99597,0.99723,1.00493,0.39611,0.00572
2025-09-13 16:01:03.593,-0.03951,0.03992,1.00562,1.00719,1.00561,0.08114,0.00341
2025-09-13 16:01:03.601,0.02473,0.00205,0.97456,0.97487,0.99639,1.10662,0.00418
2025-09-13 16:01:03.609,0.01698,-0.04327,1.00442,1.00550,0.99912,0.32798,0.00443
2025-09-13 16:01:03.618,0.00384,0.02163,0.99354,0.99378,0.99752,0.19215,0.00419
2025-09-13 16:01:03.626,0.00813,0.02303,1.00820,1.00850,1.00081,0.39507,0.00430
2025-09-13 16:01:03.634,-0.00137,-0.00253,1.01303,1.01303,1.00448,0.43995,0.00406
2025-09-13 16:01:03.643,0.02761,0.00312,0.96035,0.96076,0.99136,1.57403,0.00578
2025-09-13 16:01:03.651,-0.02987,0.00645,1.00107,1.00154,0.99441,0.36627,0.00638
2025-09-13 16:01:03.659,0.01851,-0.02705,0.98439,0.98493,0.99157,0.34136,0.00755
2025-09-13 16:01:03.667,0.01273,0.00234,1.00059,1.00068,0.99430,0.32789,0.00815
2025-09-13 16:01:03.676,0.01282,0.02608,0.99647,0.99689,0.99508,0.09324,0.00829
2025-09-13 16:01:03.684,0.01601,0.01927,0.96238,0.96270,0.98537,1.16550,0.01019
2025-09-13 16:01:03.693,-0.02310,0.00769,0.97600,0.97631,0.98265,0.32620,0.01220
2025-09-13 16:01:03.701,-0.00525,0.00684,1.01278,1.01282,0.99170,1.08610,0.01281
2025-09-13 16:01:03.709,-0.02397,0.00586,1.03643,1.03673,1.00521,1.62093,0.01281
2025-09-13 16:01:03.718,-0.03023,0.02012,1.02870,1.02934,1.01245,0.86874,0.01248
