timestamp,ax_g,ay_g,az_g,metric_raw,metric_lpf,jerk_gps,rms_g
2025-09-13 15:58:44.687,0.00420,0.00080,0.98866,0.98866,0.99331,0.23893,0.00680
2025-09-13 15:58:44.695,-0.01148,0.00862,0.99988,0.99998,0.99531,0.24011,0.00731
2025-09-13 15:58:44.704,-0.02269,-0.03495,0.99651,0.99738,0.99593,0.07463,0.00769
2025-09-13 15:58:44.712,0.00153,-0.03199,0.96560,0.96613,0.98699,1.07291,0.00916
2025-09-13 15:58:44.720,0.00851,-0.00498,1.01190,1.01195,0.99448,0.89847,0.00956
2025-09-13 15:58:44.728,0.00390,-0.03070,1.00549,1.00597,0.99793,0.41365,0.00900
2025-09-13 15:58:44.737,0.02117,-0.01809,0.99304,0.99343,0.99658,0.16181,0.00919
2025-09-13 15:58:44.746,-0.00926,-0.00491,1.00261,1.00267,0.99841,0.21930,0.00936
2025-09-13 15:58:44.754,-0.00097,0.01405,0.96478,0.96488,0.98835,1.20694,0.01029
2025-09-13 15:58:44.763,-0.01115,0.01761,0.99202,0.99224,0.98951,0.13997,0.01079
2025-09-13 15:58:44.771,-0.01869,0.00445,0.97556,0.97575,0.98538,0.49553,0.01208
2025-09-13 15:58:44.779,-0.00200,0.00385,1.00996,1.00997,0.99276,0.88495,0.01235
2025-09-13 15:58:44.787,-0.04408,0.02810,1.04062,1.04194,1.00751,1.77039,0.01109
2025-09-13 15:58:44.796,-0.01362,0.02469,0.97817,0.97857,0.99883,1.04177,0.01078
2025-09-13 15:58:44.804,-0.01650,0.03755,0.95845,0.95932,0.98698,1.42230,0.01198
2025-09-13 15:58:44.813,0.00565,0.01909,0.98738,0.98758,0.98716,0.02173,0.01298
2025-09-13 15:58:44.820,-0.00278,0.02015,1.01638,1.01658,0.99599,1.05925,0.01311
2025-09-13 15:58:44.829,-0.04049,0.01272,1.00782,1.00872,0.99981,0.45823,0.01214
2025-09-13 15:58:44.837,0.00519,-0.00483,0.99833,0.99836,0.99937,0.05207,0.01127
2025-09-13 15:58:44.846,-0.00866,-0.02148,1.00294,1.00321,1.00052,0.13811,0.00953
2025-09-13 15:58:44.854,0.00700,0.01590,0.99623,0.99639,0.99928,0.14891,0.00892
2025-09-13 15:58:44.862,0.00312,0.02919,1.00623,1.00665,1.00149,0.26541,0.00886
2025-09-13 15:58:44.870,0.00293,-0.01220,0.99857,0.99865,1.00064,0.10228,0.00877
2025-09-13 15:58:44.879,0.01308,-0.01588,1.00534,1.00555,1.00211,0.17688,0.00679
2025-09-13 15:58:44.887,0.00808,-0.02222,0.99482,0.99510,1.00001,0.25249,0.00415
2025-09-13 15:58:44.896,0.04525,0.02086,1.00701,1.00824,1.00248,0.29643,0.00327
2025-09-13 15:58:44.904,-0.00788,0.00585,1.02046,1.02051,1.00789,0.64891,0.00331
2025-09-13 15:58:44.912,-0.00569,-0.02197,0.96237,0.96264,0.99431,1.62893,0.00432
2025-09-13 15:58:44.921,-0.02870,-0.02015,0.98765,0.98828,0.99250,0.21739,0.00561
2025-09-13 15:58:44.929,-0.00639,-0.01473,1.01109,1.01121,0.99812,0.67359,0.00573
2025-09-13 15:58:44.937,0.00052,0.01858,1.00790,1.00807,1.00110,0.35834,0.00575
2025-09-13 15:58:44.945,0.00865,-0.02285,1.03476,1.03505,1.01129,1.22220,0.00619
2025-09-13 15:58:44.953,-0.02197,-0.02539,1.00648,1.00704,1.01001,0.15275,0.00652
2025-09-13 15:58:44.962,-0.00131,-0.01643,1.01619,1.01632,1.01191,0.22711,0.00696
2025-09-13 15:58:44.970,-0.01501,-0.00969,0.96998,0.97015,0.99938,1.50333,0.00709
2025-09-13 15:58:44.978,-0.00810,0.02634,1.00457,1.00495,1.00105,0.20039,0.00701
2025-09-13 15:58:44.987,-0.01154,0.00023,1.04292,1.04298,1.01363,1.50949,0.00709
2025-09-13 15:58:44.995,-0.00233,-0.02201,1.01079,1.01103,1.01285,0.09358,0.00675
2025-09-13 15:58:45.004,-0.00677,-0.01817,0.99164,0.99183,1.00654,0.75663,0.00655
2025-09-13 15:58:45.012,0.01395,-0.00496,1.01099,1.01110,1.00791,0.16401,0.00664
2025-09-13 15:58:45.020,-0.01162,-0.01152,0.98802,0.98816,1.00198,0.71098,0.00617
2025-09-13 15:58:45.029,0.02677,-0.01554,0.99759,0.99807,1.00081,0.14110,0.00588
2025-09-13 15:58:45.037,-0.01379,-0.06242,1.00256,1.00459,1.00194,0.13616,0.00525
2025-09-13 15:58:45.046,-0.06193,-0.02134,1.00836,1.01049,1.00451,0.30756,0.00505
