timestamp,ax_g,ay_g,az_g,metric_raw,metric_lpf,jerk_gps,rms_g
2025-09-13 16:01:33.052,0.00198,-0.01489,1.01703,1.01714,1.01214,0.25727,0.00510
2025-09-13 16:01:33.060,-0.00184,0.02023,1.00723,1.00743,1.01073,0.16950,0.00532
2025-09-13 16:01:33.068,0.02425,-0.01117,1.00171,1.00207,1.00813,0.31181,0.00526
2025-09-13 16:01:33.076,-0.02472,0.01874,0.99867,0.99915,1.00544,0.32315,0.00519
2025-09-13 16:01:33.084,0.00270,0.02933,1.03540,1.03582,1.01455,1.09364,0.00608
2025-09-13 16:01:33.093,-0.01030,-0.03712,0.96848,0.96925,1.00096,1.63089,0.00607
2025-09-13 16:01:33.101,-0.00161,-0.02115,1.02730,1.02752,1.00893,0.95609,0.00625
2025-09-13 16:01:33.109,0.00122,-0.00452,0.98078,0.98080,1.00049,1.01274,0.00619
2025-09-13 16:01:33.118,-0.01849,-0.02128,0.99853,0.99893,1.00002,0.05606,0.00595
2025-09-13 16:01:33.127,-0.01201,-0.02862,1.01639,1.01687,1.00507,0.60654,0.00527
2025-09-13 16:01:33.135,0.02621,-0.00398,1.03552,1.03586,1.01431,1.10812,0.00589
2025-09-13 16:01:33.142,0.03054,-0.00213,1.00662,1.00708,1.01214,0.26007,0.00636
2025-09-13 16:01:33.151,-0.00313,-0.00052,1.00480,1.00480,1.00994,0.26418,0.00667
2025-09-13 16:01:33.159,-0.02244,-0.00045,1.00530,1.00555,1.00862,0.15813,0.00584
2025-09-13 16:01:33.168,0.03151,-0.01593,1.00123,1.00185,1.00659,0.24387,0.00584
2025-09-13 16:01:33.176,0.02539,-0.04211,0.97318,0.97442,0.99694,1.15809,0.00602
2025-09-13 16:01:33.184,0.05555,0.01501,0.97664,0.97833,0.99136,0.67000,0.00721
2025-09-13 16:01:33.193,-0.02467,0.01995,0.96812,0.96864,0.98454,0.81788,0.00956
2025-09-13 16:01:33.201,0.00255,-0.02543,0.98727,0.98760,0.98546,0.11020,0.01132
2025-09-13 16:01:33.209,-0.01096,0.00307,1.01336,1.01342,0.99385,1.00672,0.01125
2025-09-13 16:01:33.218,0.01644,0.01338,0.98579,0.98602,0.99150,0.28178,0.01163
2025-09-13 16:01:33.226,-0.01526,-0.02994,0.99335,0.99391,0.99222,0.08690,0.01207
2025-09-13 16:01:33.235,0.01332,0.00276,0.99910,0.99919,0.99431,0.25084,0.01236
2025-09-13 16:01:33.243,-0.01080,0.00022,1.00519,1.00524,0.99759,0.39343,0.01249
2025-09-13 16:01:33.251,-0.03252,0.01406,0.98212,0.98276,0.99314,0.53401,0.01278
2025-09-13 16:01:33.259,-0.03555,0.01970,1.02250,1.02331,1.00219,1.08598,0.01211
2025-09-13 16:01:33.267,-0.00146,0.01676,0.98664,0.98678,0.99757,0.55489,0.01049
2025-09-13 16:01:33.276,-0.03635,-0.01519,0.98477,0.98556,0.99396,0.43248,0.00914
2025-09-13 16:01:33.285,-0.03984,0.01465,1.01185,1.01274,0.99960,0.67594,0.00864
2025-09-13 16:01:33.293,0.01340,-0.01412,0.99768,0.99787,0.99908,0.06236,0.00777
2025-09-13 16:01:33.301,-0.00157,0.02183,0.98983,0.99008,0.99638,0.32408,0.00719
2025-09-13 16:01:33.309,0.00809,-0.00832,1.00532,1.00539,0.99908,0.32448,0.00665
2025-09-13 16:01:33.317,-0.00149,-0.00124,1.00190,1.00190,0.99993,0.10144,0.00646
2025-09-13 16:01:33.326,0.02717,0.00436,1.00353,1.00390,1.00112,0.14319,0.00548
2025-09-13 16:01:33.334,-0.02751,0.01616,1.00900,1.00950,1.00364,0.30185,0.00546
2025-09-13 16:01:33.343,-0.04500,-0.00851,1.01265,1.01368,1.00665,0.36167,0.00515
2025-09-13 16:01:33.351,-0.00615,-0.02531,0.98494,0.98529,1.00024,0.76900,0.00416
2025-09-13 16:01:33.359,0.02654,-0.03012,0.99928,1.00008,1.00019,0.00569,0.00410
2025-09-13 16:01:33.368,0.01875,-0.01170,1.00496,1.00521,1.00170,0.18045,0.00385
2025-09-13 16:01:33.376,0.00375,0.00816,0.99892,0.99896,1.00088,0.09851,0.00313
2025-09-13 16:01:33.384,-0.02476,-0.01215,0.98928,0.98967,0.99751,0.40345,0.00341
2025-09-13 16:01:33.392,0.02411,0.01404,1.00387,1.00425,0.99954,0.24260,0.00346
2025-09-13 16:01:33.401,-0.02586,-0.02445,0.96356,0.96421,0.98894,1.27158,0.00596
2025-09-13 16:01:33.409,-0.02210,0.01563,1.00168,1.00204,0.99287,0.47172,0.00697
2025-09-13 16:01:33.421,0.00630,-0.01655,0.99443,0.99459,0.99339,0.06200,0.00771
2025-09-13 16:01:33.429,-0.02300,-0.01337,1.00316,1.00351,0.99642,0.36442,0.00800
2025-09-13 16:01:33.438,0.00084,-0.00225,0.97015,0.97015,0.98854,0.94582,0.00940
2025-09-13 16:01:33.442,-0.01764,0.00759,1.03509,1.03527,1.00256,1.68225,0.00938
