timestamp,ax_g,ay_g,az_g,metric_raw,metric_lpf,jerk_gps,rms_g
2025-09-13 16:00:25.568,0.00651,0.05738,0.98120,0.98290,0.98536,0.12668,0.01322
2025-09-13 16:00:25.576,-0.00584,0.01148,1.02353,1.02361,0.99683,1.37701,0.01336
2025-09-13 16:00:25.584,-0.01356,0.01934,0.98440,0.98469,0.99319,0.43732,0.01271
2025-09-13 16:00:25.592,-0.01728,-0.01415,0.98699,0.98725,0.99141,0.21396,0.01256
2025-09-13 16:00:25.601,-0.00723,-0.01026,1.02254,1.02262,1.00077,1.12360,0.01222
2025-09-13 16:00:25.610,0.01204,0.01375,0.97788,0.97805,0.99395,0.81802,0.01249
2025-09-13 16:00:25.618,0.00327,-0.04957,1.02188,1.02309,1.00269,1.04896,0.01193
2025-09-13 16:00:25.626,0.01006,-0.01678,1.03773,1.03791,1.01326,1.26793,0.01127
2025-09-13 16:00:25.634,0.00596,0.01635,0.98993,0.99008,1.00631,0.83446,0.00972
2025-09-13 16:00:25.643,-0.00022,-0.00446,1.00762,1.00763,1.00671,0.04781,0.00761
2025-09-13 16:00:25.651,0.00142,-0.01147,0.95466,0.95473,0.99111,1.87125,0.00839
2025-09-13 16:00:25.660,0.01527,0.01523,1.02711,1.02734,1.00198,1.30425,0.00764
2025-09-13 16:00:25.668,-0.02188,-0.01215,1.02222,1.02252,1.00814,0.73961,0.00661
2025-09-13 16:00:25.677,0.00287,0.00706,1.01182,1.01185,1.00926,0.13350,0.00679
2025-09-13 16:00:25.685,-0.02396,0.01770,0.99413,0.99457,1.00485,0.52858,0.00597
2025-09-13 16:00:25.693,-0.02862,0.02178,0.97892,0.97958,0.99727,0.90983,0.00634
2025-09-13 16:00:25.701,-0.00463,-0.02290,0.96919,0.96947,0.98893,1.00080,0.00737
2025-09-13 16:00:25.710,-0.00759,0.01975,1.02725,1.02747,1.00049,1.38756,0.00740
2025-09-13 16:00:25.718,0.01002,0.00028,0.99815,0.99820,0.99980,0.08248,0.00745
2025-09-13 16:00:25.727,-0.01241,-0.00943,0.97634,0.97646,0.99280,0.84040,0.00715
2025-09-13 16:00:25.734,-0.01594,-0.02155,0.99688,0.99724,0.99413,0.15994,0.00781
2025-09-13 16:00:25.743,0.01187,-0.01999,0.96000,0.96028,0.98398,1.21874,0.01010
2025-09-13 16:00:25.751,-0.04802,-0.02010,0.97953,0.98091,0.98306,0.11042,0.01209
2025-09-13 16:00:25.759,0.00400,-0.02639,1.00920,1.00956,0.99101,0.95390,0.01280
2025-09-13 16:00:25.768,0.00105,0.01307,0.98729,0.98738,0.98992,0.13073,0.01343
2025-09-13 16:00:25.776,0.02864,0.00238,0.97824,0.97866,0.98654,0.40518,0.01375
2025-09-13 16:00:25.784,0.01768,-0.01223,1.00051,1.00074,0.99080,0.51108,0.01436
