timestamp,ax_g,ay_g,az_g,metric_raw,metric_lpf,jerk_gps,rms_g
2025-09-13 16:10:56.199,0.00657,-0.03395,0.98419,0.98480,0.98975,0.25424,0.00565
2025-09-13 16:10:56.208,0.01753,0.01760,1.00339,1.00369,0.99393,0.50212,0.00581
2025-09-13 16:10:56.217,-0.02018,-0.00940,0.99446,0.99471,0.99416,0.02818,0.00612
2025-09-13 16:10:56.225,-0.00106,0.01641,0.99678,0.99692,0.99499,0.09904,0.00620
2025-09-13 16:10:56.233,0.00759,-0.05030,1.02723,1.02849,1.00504,1.20603,0.00603
2025-09-13 16:10:56.242,-0.02514,-0.01301,1.00608,1.00648,1.00547,0.05193,0.00627
2025-09-13 16:10:56.250,-0.04247,0.00252,0.99752,0.99843,1.00336,0.25359,0.00619
2025-09-13 16:10:56.258,0.01135,0.01076,0.95655,0.95667,0.98935,1.68064,0.00705
2025-09-13 16:10:56.266,-0.01551,-0.00047,0.98961,0.98973,0.98947,0.01371,0.00739
2025-09-13 16:10:56.275,0.02077,0.00452,0.97769,0.97792,0.98600,0.41576,0.00805
2025-09-13 16:10:56.283,-0.05640,0.02705,1.02969,1.03158,0.99968,1.64091,0.00779
2025-09-13 16:10:56.292,0.03778,-0.02120,0.98763,0.98858,0.99635,0.39965,0.00764
2025-09-13 16:10:56.301,0.01608,-0.02956,0.98895,0.98952,0.99430,0.24573,0.00769
2025-09-13 16:10:56.309,0.03129,0.02903,1.02149,1.02238,1.00272,1.01081,0.00756
2025-09-13 16:10:56.318,-0.01595,-0.04766,0.95711,0.95843,0.98943,1.59464,0.00814
2025-09-13 16:10:56.325,0.03145,0.00919,0.98662,0.98717,0.98875,0.08162,0.00889
2025-09-13 16:10:56.334,0.01725,-0.01837,1.01184,1.01216,0.99578,0.84253,0.00827
2025-09-13 16:10:56.341,0.00840,-0.01424,0.98936,0.98949,0.99389,0.22610,0.00776
2025-09-13 16:10:56.350,0.00154,0.01384,1.03115,1.03124,1.00510,1.34465,0.00643
2025-09-13 16:10:56.358,0.04064,-0.02357,1.03676,1.03782,1.01491,1.17814,0.00813
2025-09-13 16:10:56.367,0.02136,-0.01600,0.98934,0.98970,1.00735,0.90769,0.00840
2025-09-13 16:10:56.375,-0.01154,-0.01576,0.97791,0.97810,0.99858,1.05284,0.00820
2025-09-13 16:10:56.384,0.00897,-0.04095,0.97470,0.97560,0.99168,0.82712,0.00861
2025-09-13 16:10:56.391,0.01378,0.00961,0.98604,0.98618,0.99003,0.19814,0.00853
2025-09-13 16:10:56.400,0.02166,0.02104,0.98416,0.98462,0.98841,0.19474,0.00858
2025-09-13 16:10:56.408,0.01176,-0.01752,0.99226,0.99249,0.98963,0.14681,0.00914
2025-09-13 16:10:56.417,0.01572,0.00483,1.01001,1.01015,0.99579,0.73850,0.00902
2025-09-13 16:10:56.425,0.01275,-0.02998,1.01373,1.01425,1.00133,0.66462,0.00887
