timestamp,ax_g,ay_g,az_g,metric_raw,metric_lpf,jerk_gps,rms_g
2025-09-13 16:03:33.051,-0.03358,-0.02588,0.94379,0.94474,0.97490,1.55111,0.01740
2025-09-13 16:03:33.059,0.03675,0.00685,1.00985,1.01054,0.98560,1.28291,0.01783
2025-09-13 16:03:33.068,-0.01774,-0.00024,0.98330,0.98346,0.98496,0.07688,0.01751
2025-09-13 16:03:33.076,-0.03207,-0.02835,0.96625,0.96720,0.97963,0.63922,0.01893
2025-09-13 16:03:33.084,-0.00961,0.03408,0.98548,0.98612,0.98157,0.23356,0.01909
2025-09-13 16:03:33.093,0.01697,0.02058,1.00302,1.00337,0.98811,0.78475,0.01953
2025-09-13 16:03:33.101,-0.00605,-0.01475,0.98811,0.98824,0.98815,0.00465,0.01971
2025-09-13 16:03:33.110,0.00622,0.00044,1.00156,1.00157,0.99218,0.48318,0.01959
2025-09-13 16:03:33.118,0.00716,-0.00527,1.00851,1.00855,0.99709,0.58934,0.01899
2025-09-13 16:03:33.127,-0.01225,-0.00542,0.97563,0.97572,0.99068,0.76919,0.01694
2025-09-13 16:03:33.135,0.03149,-0.02259,1.00594,1.00668,0.99548,0.57609,0.01607
2025-09-13 16:03:33.143,0.01759,0.00117,1.02588,1.02603,1.00465,1.09983,0.01480
2025-09-13 16:03:33.151,-0.03637,0.00282,0.95888,0.95957,0.99113,1.62260,0.01313
2025-09-13 16:03:33.160,-0.00978,0.00022,0.99640,0.99644,0.99272,0.19145,0.01146
2025-09-13 16:03:33.168,0.04905,0.00878,0.98745,0.98871,0.99152,0.14439,0.01099
2025-09-13 16:03:33.176,0.00392,-0.02822,0.99293,0.99334,0.99206,0.06567,0.01044
2025-09-13 16:03:33.185,0.00037,-0.02837,0.95379,0.95421,0.98071,1.36273,0.01237
2025-09-13 16:03:33.193,0.01779,-0.01404,1.03006,1.03031,0.99559,1.78577,0.01247
2025-09-13 16:03:33.201,-0.01779,0.00014,1.00217,1.00232,0.99761,0.24243,0.01186
2025-09-13 16:03:33.209,-0.05024,0.03518,0.96695,0.96889,0.98899,1.03389,0.01254
2025-09-13 16:03:33.218,0.01806,0.01635,1.01076,1.01105,0.99561,0.79417,0.01282
2025-09-13 16:03:33.226,0.00316,0.00773,0.99512,0.99515,0.99548,0.01648,0.01242
2025-09-13 16:03:33.235,0.01427,0.02645,0.97698,0.97744,0.99006,0.64926,0.01271
2025-09-13 16:03:33.243,-0.02591,-0.01070,0.99325,0.99365,0.99114,0.12907,0.01275
2025-09-13 16:03:33.251,-0.01719,0.03583,1.00581,1.00659,0.99578,0.55622,0.01243
2025-09-13 16:03:33.260,0.02177,0.00510,1.03316,1.03340,1.00706,1.35453,0.00985
2025-09-13 16:03:33.267,0.02228,-0.00324,0.96023,0.96050,0.99309,1.67641,0.01011
2025-09-13 16:03:33.276,-0.04314,0.01361,1.01738,1.01839,1.00068,0.91066,0.00995
2025-09-13 16:03:33.285,0.01265,-0.03454,0.99792,0.99860,1.00006,0.07512,0.00874
2025-09-13 16:03:33.293,0.02406,0.01560,1.00585,1.00626,1.00192,0.22338,0.00834
2025-09-13 16:03:33.301,-0.02466,-0.00106,0.99119,0.99150,0.99879,0.37504,0.00804
2025-09-13 16:03:33.309,-0.02035,-0.03133,0.99811,0.99881,0.99880,0.00055,0.00683
